"","story_name","document_id","word","word_n","paragraph_n","number_word","lp_GroNLP_gpt2.medium.dutch.embeddings","lp_GroNLP_gpt2.small.dutch","lp_yhavinga_gpt2.large.dutch","lp_yhavinga_gpt.neo.125M.dutch","zipf_freq","zero_freq","lp_BramVanroy_fietje.2","sd_lp","se_lp","wl","s_lp","s_wl","s_freq","s_lp1","s_lp2","s_lp3","s_wl1","s_wl2","s_wl3","s_freq1","s_freq2","s_freq3","word_rm_punct","pos","lp"
"1","mijn heer zak met rijst",1,"Op",0,0,1,NA,NA,NA,NA,1.35550232686675,"True",NA,NA,NA,2,NA,-1.03419375116925,-1.5294331351631,NA,NA,NA,NA,NA,NA,NA,NA,NA,"op","ADP",NA
"2","mijn heer zak met rijst",1,"een",1,0,2,-7.21320152282715,-2.7787652015686,-3.35117173194885,-3.00445413589478,7.25087735208062,"False",-2.93371421098709,1.8882418773684,0.844447439151512,3,0.236747691383943,-0.713707478066853,1.11043325465993,NA,NA,NA,-1.03419375116925,NA,NA,-1.5294331351631,NA,NA,"een","DET",-3.85626136064529
"3","mijn heer zak met rijst",1,"zekere",2,0,3,-8.90047168731689,-7.87838697433472,-7.24051189422607,-6.8267765045166,4.35766838862326,"False",-7.19216148823034,0.815762056585056,0.364819882397843,6,-0.772670703995441,0.247751341240346,-0.185105208745748,0.236747691383943,NA,NA,-0.713707478066853,-1.03419375116925,NA,1.11043325465993,-1.5294331351631,NA,"zekere","ADJ",-7.60766170972492
"4","mijn heer zak met rijst",1,"dag",3,0,4,-3.44432759284973,-0.745605707168579,-0.959172964096069,-1.61522054672241,5.92496987479219,"False",-0.545600056648254,1.17887063404494,0.527206974880554,3,0.8809941060956,-0.713707478066853,0.51671045155772,-0.772670703995441,0.236747691383943,NA,0.247751341240346,-0.713707478066853,-1.03419375116925,-0.185105208745748,1.11043325465993,-1.5294331351631,"dag","NOUN",-1.46198537349701
"5","mijn heer zak met rijst",1,"kwam",4,0,5,-4.80064392089844,-2.95304298400879,-3.33699083328247,-3.44935965538025,5.67649974366098,"False",-3.06143313646317,0.743346261736198,0.332434554412498,4,0.327149007031467,-0.393221204964453,0.405449005891774,0.8809941060956,-0.772670703995441,0.236747691383943,-0.713707478066853,0.247751341240346,-0.713707478066853,0.51671045155772,-0.185105208745748,1.11043325465993,"kwam","VERB",-3.52029410600662
"6","mijn heer zak met rijst",1,"de",5,0,6,-2.4314296245575,-2.22685813903809,-2.04271388053894,-2.12859153747559,7.38129056461726,"False",-1.97301018238068,0.178780880949234,0.0799532405759567,2,0.693033793859286,-1.03419375116925,1.16883046520072,0.327149007031467,0.8809941060956,-0.772670703995441,-0.393221204964453,-0.713707478066853,0.247751341240346,0.405449005891774,0.51671045155772,-0.185105208745748,"de","DET",-2.16052067279816
"7","mijn heer zak met rijst",1,"grote",6,0,7,-5.40400695800781,-5.45559120178223,-4.69634675979614,-5.22883033752441,5.68237048676044,"False",-5.05207109451294,0.307409586121103,0.137477746300373,5,-0.116042285479632,-0.0727349318620536,0.408077842450139,0.693033793859286,0.327149007031467,0.8809941060956,-1.03419375116925,-0.393221204964453,-0.713707478066853,1.16883046520072,0.405449005891774,0.51671045155772,"grote","ADJ",-5.16736927032471
"8","mijn heer zak met rijst",1,"Hidesato",7,0,8,-31.0055050849915,-25.8770427703857,-29.1648993492126,-32.8754796981812,1.35550232686675,"True",-24.36541223526,3.52543948884784,1.57662446952518,8,-6.43675915657848,0.888723887445146,-1.5294331351631,-0.116042285479632,0.693033793859286,0.327149007031467,-0.0727349318620536,-1.03419375116925,-0.393221204964453,0.408077842450139,1.16883046520072,0.405449005891774,"hidesato","PROPN",-28.6576678276062
"9","mijn heer zak met rijst",1,"bij",8,0,9,-5.99855995178223,-4.32270002365112,-4.23958587646484,-4.65543842315674,6.38826206953397,"False",-3.90044602751732,0.814322961503374,0.364176299512098,3,0.0303422601289263,-0.713707478066853,0.724166209390836,-6.43675915657848,-0.116042285479632,0.693033793859286,0.888723887445146,-0.0727349318620536,-1.03419375116925,-1.5294331351631,0.408077842450139,1.16883046520072,"bij","ADP",-4.62334606051445
"10","mijn heer zak met rijst",1,"een",9,0,10,-3.61981344223022,-3.44804573059082,-3.5975980758667,-3.42522716522217,7.25087735208062,"False",-2.75268028792925,0.355113938537283,0.158811781265409,3,0.367946890350482,-0.713707478066853,1.11043325465993,0.0303422601289263,-6.43675915657848,-0.116042285479632,-0.713707478066853,0.888723887445146,-0.0727349318620536,0.724166209390836,-1.5294331351631,0.408077842450139,"een","DET",-3.36867294036783
