,file_name,n_sentence,token,probability,surprisal
0,aspasia,1,(,0.0002246874792035669,8.400800102606055
1,aspasia,1,ca.,0.00021557067520916462,8.442221742980077
2,aspasia,1,470,4.575891580316238e-05,9.992123904286128
3,aspasia,1,v.Chr.,0.00018981832545250654,8.569443125066162
4,aspasia,2,ca.,0.0001525601837784052,8.787951392042492
5,aspasia,2,400,0.00014264082710724324,8.85518078586168
6,aspasia,2,v.Chr.,0.00019724227604456246,8.531077757207465
7,aspasia,2,),8.579086716054007e-05,9.363598000486201
8,aspasia,3,de,0.00011020123929483816,9.11320241543902
9,aspasia,3,hoogbegaafde,0.0006403492297977209,7.3534968588762055
10,aspasia,3,Milesische,8.880657986765073e-08,16.2368050920847
11,aspasia,3,"
",0.0018637861358001828,6.285145303313965
12,aspasia,3,levensgezellin,4.182204065728001e-06,12.38467216194364
13,aspasia,3,van,0.0009047238272614777,7.007880824083112
14,aspasia,3,de,0.010385747067630291,4.567320887059877
15,aspasia,3,Atheense,0.0001546724233776331,8.774201074984772
16,aspasia,3,staatsman,2.9113976779626682e-05,10.444292197389387
17,aspasia,3,Perikles,4.0296850784216076e-05,10.11923723637732
18,aspasia,3,",",0.010828773491084576,4.525548475436678
19,aspasia,3,met,0.00024170750111807138,8.327782235907812
20,aspasia,3,wie,2.878196755773388e-05,10.455761493388984
21,aspasia,3,zij,0.003050349885597825,5.7924989783528105
22,aspasia,3,(,0.0009905252372846007,6.917275212811947
23,aspasia,3,na,0.001250118133611977,6.68451722524384
24,aspasia,3,zijn,0.00012560233881231397,8.982389682986398
25,aspasia,3,"
",0.021022967994213104,3.862139724917988
26,aspasia,3,echtscheiding,4.030448690173216e-05,10.119047757697233
27,aspasia,3,van,0.0010996147757396102,6.812795364386591
28,aspasia,3,zijn,0.0021119501907378435,6.160143497347173
29,aspasia,3,eerste,0.00011488792370073497,9.071553481324841
30,aspasia,3,vrouw,0.0008770781569182873,7.038914451069992
31,aspasia,3,),0.21509185433387756,1.5366901126310992
32,aspasia,3,in,0.002494807355105877,5.993543765142099
33,aspasia,3,concubinaat,3.3156899007735774e-05,10.314259748121472
34,aspasia,3,leefde,0.0006872441153973341,7.282820993491287
35,aspasia,3,.,0.0033527526538819075,5.697973582819766
36,aspasia,4,zijn,0.004282027017325163,5.45332877932377
37,aspasia,4,maar,0.004544497933238745,5.3938380231885334
38,aspasia,4,"
",0.027488749474287033,3.5939784680438756
39,aspasia,4,weinig,0.0001622293348191306,8.726499576783803
40,aspasia,4,details,2.575176040409133e-06,12.869592660977938
41,aspasia,4,bekend,1.1519231520651374e-05,11.371492613198415
42,aspasia,4,over,1.7534468497615308e-05,10.951341985774473
43,aspasia,4,haar,0.0032135099172592163,5.740391507033776
44,aspasia,4,leven,0.00011067117884522304,9.10894710584928
45,aspasia,4,.,0.031487081199884415,3.4581779379116098
46,aspasia,5,bracht,0.00015933044778648764,8.744530224431564
47,aspasia,5,het,3.4184495234512724e-08,17.191493651390626
48,aspasia,5,merendeel,3.7939091271255165e-05,10.179528545477117
49,aspasia,5,van,0.001949124038219452,6.240375218501557
50,aspasia,5,haar,0.00045264969230629504,7.700392037803809
51,aspasia,5,"
",0.016574004665017128,4.099919795089347
52,aspasia,5,volwassen,7.863371865823865e-05,9.450709959956425
53,aspasia,5,leven,0.0001686365285422653,8.687764877842925
54,aspasia,5,door,5.712966958526522e-05,9.770186968803788
55,aspasia,5,in,0.00020643355674110353,8.485531956461745
56,aspasia,5,Athene,1.0639693925895699e-07,16.056089026815812
57,aspasia,5,",",0.04461657628417015,3.109649823442303
58,aspasia,5,en,0.0023372492287307978,6.058780584382935
59,aspasia,5,ze,0.0004660171107389033,7.671288206188903
60,aspasia,5,had,3.0451644761342322e-06,12.701955643110365
61,aspasia,5,mogelijk,0.0012539378367364407,6.681466409980649
62,aspasia,5,invloed,6.805305929447059e-06,11.897807966303093
63,aspasia,5,op,0.0014052004553377628,6.567575313534964
64,aspasia,5,Perikles,3.6511199141386896e-05,10.217891518645814
65,aspasia,5,"
",0.08799485862255096,2.4304768909544614
66,aspasia,5,en,0.0034294594079256058,5.6753526372443535
67,aspasia,5,de,0.005375972483307123,5.225815794206842
68,aspasia,5,Atheense,6.529393431264907e-06,11.93919650853639
69,aspasia,5,politieke,1.991614453800139e-06,13.126564964823649
70,aspasia,5,elite,0.002926551504060626,5.833930510187239
71,aspasia,5,.,0.0018713704776018858,6.281084240814982
72,aspasia,6,wordt,0.00010670205665519461,9.145470124723355
73,aspasia,6,vermeld,6.216255860636011e-05,9.685757691131018
74,aspasia,6,in,8.708350651431829e-05,9.348643054674174
75,aspasia,6,de,0.009675604291260242,4.63814758297179
76,aspasia,6,geschriften,6.57436394249089e-05,9.629747630370554
77,aspasia,6,van,7.352992270170944e-06,11.820403215999082
78,aspasia,6,"
",0.0045704045332968235,5.38815355867266
79,aspasia,6,Plato,0.00016385632625315338,8.716520573536398
80,aspasia,6,",",0.0633285716176033,2.7594186833015044
81,aspasia,6,Aristophanes,5.814380529045593e-06,12.05517630749714
82,aspasia,6,",",0.5026062726974487,0.6879481734542093
83,aspasia,6,Xenophon,0.000900721293874085,7.01231467798175
84,aspasia,6,en,8.835715561872348e-05,9.334123370755261
85,aspasia,6,andere,0.0003223344392608851,8.039920920179126
86,aspasia,6,auteurs,0.001361800474114716,6.598947576762497
87,aspasia,6,uit,4.653265477827517e-06,12.277941331533235
88,aspasia,6,die,2.2314981833915226e-05,10.710252273958424
89,aspasia,6,tijd,5.124542894918704e-06,12.181469228152952
