"","X","story_name","document_id","word","word_n","paragraph_n","lp","wl","s_lp","s_lp1","s_lp2","s_lp3","s_wl","s_wl1","s_wl2","s_wl3","number_word","word_rm_punct","pos","lp_quantile"
"13",13,"mijn heer zak met rijst",1,"over",12,0,-3.96701812744141,4,0.290147712662989,0.611012515335339,-0.727819499664126,0.373374869984169,-0.393408801846939,-0.713901874399868,-0.0729157292940105,-0.713901874399868,13,"over","ADP","med_lp"
"14",14,"mijn heer zak met rijst",1,"het",13,0,-2.56777405738831,3,0.625555359245301,0.290147712662989,0.611012515335339,-0.727819499664126,-0.713901874399868,-0.393408801846939,-0.713901874399868,-0.0729157292940105,14,"het","DET","med_lp"
"15",15,"mijn heer zak met rijst",1,"mooie",14,0,-8.75826930999756,5,-0.858345475708997,0.625555359245301,0.290147712662989,0.611012515335339,-0.0729157292940105,-0.713901874399868,-0.393408801846939,-0.713901874399868,15,"mooie","ADJ","low_lp"
"16",16,"mijn heer zak met rijst",1,"meer",15,0,-8.58669376373291,4,-0.817217732940348,-0.858345475708997,0.625555359245301,0.290147712662989,-0.393408801846939,-0.0729157292940105,-0.713901874399868,-0.393408801846939,16,"meer","PRON","low_lp"
"17",17,"mijn heer zak met rijst",1,"Biwa",16,0,-18.8968515396118,4,-3.28862771030665,-0.817217732940348,-0.858345475708997,0.625555359245301,-0.393408801846939,-0.393408801846939,-0.0729157292940105,-0.713901874399868,17,"biwa","SYM","low_lp"
"18",18,"mijn heer zak met rijst",1,"was",17,0,-3.6515576839447,3,0.365765574626863,-3.28862771030665,-0.817217732940348,-0.858345475708997,-0.713901874399868,-0.393408801846939,-0.393408801846939,-0.0729157292940105,18,"was","AUX","med_lp"
"19",19,"mijn heer zak met rijst",1,"gespannen.",18,0,-7.85954999923706,10,-0.642916777162632,0.365765574626863,-3.28862771030665,-0.817217732940348,1.52954963347063,-0.713901874399868,-0.393408801846939,-0.393408801846939,19,"gespannen","ADJ","low_lp"
"20",20,"mijn heer zak met rijst",1,"Hij",19,0,-1.91273164749146,3,0.782573164657027,-0.642916777162632,0.365765574626863,-3.28862771030665,-0.713901874399868,1.52954963347063,-0.713901874399868,-0.393408801846939,20,"hij","PRON","high_lp"
"21",21,"mijn heer zak met rijst",1,"was",20,0,-2.72579407691956,3,0.587676961903331,0.782573164657027,-0.642916777162632,0.365765574626863,-0.713901874399868,-0.713901874399868,1.52954963347063,-0.713901874399868,21,"was","AUX","med_lp"
"22",22,"mijn heer zak met rijst",1,"op",21,0,-3.12789630889893,2,0.491290515678422,0.587676961903331,0.782573164657027,-0.642916777162632,-1.0343949469528,-0.713901874399868,-0.713901874399868,1.52954963347063,22,"op","ADP","med_lp"
"23",23,"mijn heer zak met rijst",1,"het",22,0,-1.93305468559265,3,0.77770160398594,0.491290515678422,0.587676961903331,0.782573164657027,-0.713901874399868,-1.0343949469528,-0.713901874399868,-0.713901874399868,23,"het","DET","high_lp"
"24",24,"mijn heer zak met rijst",1,"punt",23,0,-0.69147139787674,4,1.07531696465202,0.77770160398594,0.491290515678422,0.587676961903331,-0.393408801846939,-0.713901874399868,-1.0343949469528,-0.713901874399868,24,"punt","NOUN","high_lp"
"25",25,"mijn heer zak met rijst",1,"de",24,0,-7.05672311782837,2,-0.450474099956155,1.07531696465202,0.77770160398594,0.491290515678422,-1.0343949469528,-0.393408801846939,-0.713901874399868,-1.0343949469528,25,"de","DET","low_lp"
"26",26,"mijn heer zak met rijst",1,"brug",25,0,-2.19102787971497,4,0.715863799006994,-0.450474099956155,1.07531696465202,0.77770160398594,-0.393408801846939,-1.0343949469528,-0.393408801846939,-0.713901874399868,26,"brug","NOUN","high_lp"
"27",27,"mijn heer zak met rijst",1,"over",26,0,-2.06974172592163,4,0.744936856579646,0.715863799006994,-0.450474099956155,1.07531696465202,-0.393408801846939,-0.393408801846939,-1.0343949469528,-0.393408801846939,27,"over","ADP","high_lp"
"28",28,"mijn heer zak met rijst",1,"te",27,0,-3.32954907417297,2,0.442953073430184,0.744936856579646,0.715863799006994,-0.450474099956155,-1.0343949469528,-0.393408801846939,-0.393408801846939,-1.0343949469528,28,"te","ADP","med_lp"
"29",29,"mijn heer zak met rijst",1,"trekken,",28,0,-4.79620957374573,8,0.0913852826313495,0.442953073430184,0.744936856579646,0.715863799006994,0.888563488364776,-1.0343949469528,-0.393408801846939,-0.393408801846939,29,"trekken","VERB","med_lp"
"30",30,"mijn heer zak met rijst",1,"toen",29,0,-1.38443875312805,4,0.909208310159459,0.0913852826313495,0.442953073430184,0.744936856579646,-0.393408801846939,0.888563488364776,-1.0343949469528,-0.393408801846939,30,"toen","SCONJ","high_lp"
"31",31,"mijn heer zak met rijst",1,"hij",30,0,-1.76754772663116,3,0.817374668025555,0.909208310159459,0.0913852826313495,0.442953073430184,-0.713901874399868,-0.393408801846939,0.888563488364776,-1.0343949469528,31,"hij","PRON","high_lp"
"32",32,"mijn heer zak met rijst",1,"een",31,0,-3.11586713790894,3,0.494173983987089,0.817374668025555,0.909208310159459,0.0913852826313495,-0.713901874399868,-0.713901874399868,-0.393408801846939,0.888563488364776,32,"een","DET","med_lp"
"33",33,"mijn heer zak met rijst",1,"slangendraak",32,0,-21.680287361145,12,-3.95583486758117,0.494173983987089,0.817374668025555,0.909208310159459,2.17053577857649,-0.713901874399868,-0.713901874399868,-0.393408801846939,33,"slangendraak","NOUN","low_lp"
"34",34,"mijn heer zak met rijst",1,"in",33,0,-3.65117359161377,2,0.365857643985986,-3.95583486758117,0.494173983987089,0.817374668025555,-1.0343949469528,2.17053577857649,-0.713901874399868,-0.713901874399868,34,"in","ADP","med_lp"
"35",35,"mijn heer zak met rijst",1,"diepe",34,0,-9.52556800842285,5,-1.04227182292213,0.365857643985986,-3.95583486758117,0.494173983987089,-0.0729157292940105,-1.0343949469528,2.17053577857649,-0.713901874399868,35,"diepe","ADJ","low_lp"
"36",36,"mijn heer zak met rijst",1,"slaap",35,0,-2.46715903282166,5,0.649673416504205,-1.04227182292213,0.365857643985986,-3.95583486758117,-0.0729157292940105,-0.0729157292940105,-1.0343949469528,2.17053577857649,36,"slaap","VERB","med_lp"
"37",37,"mijn heer zak met rijst",1,"zag,",36,0,-7.04410219192505,4,-0.44744878425497,0.649673416504205,-1.04227182292213,0.365857643985986,-0.393408801846939,-0.0729157292940105,-0.0729157292940105,-1.0343949469528,37,"zag","VERB","low_lp"
"38",38,"mijn heer zak met rijst",1,"die",37,0,-2.89961290359497,3,0.546011490643063,-0.44744878425497,0.649673416504205,-1.04227182292213,-0.713901874399868,-0.393408801846939,-0.0729157292940105,-0.0729157292940105,38,"die","PRON","med_lp"
"39",39,"mijn heer zak met rijst",1,"hem",38,0,-2.27270817756653,3,0.696284515406032,0.546011490643063,-0.44744878425497,0.649673416504205,-0.713901874399868,-0.713901874399868,-0.393408801846939,-0.0729157292940105,39,"hem","PRON","high_lp"
"40",40,"mijn heer zak met rijst",1,"in",39,0,-4.04178237915039,2,0.272226249030669,0.696284515406032,0.546011490643063,-0.44744878425497,-1.0343949469528,-0.713901874399868,-0.713901874399868,-0.393408801846939,40,"in","ADP","med_lp"
"41",41,"mijn heer zak met rijst",1,"de",40,0,-1.88065481185913,2,0.790262184878381,0.272226249030669,0.696284515406032,0.546011490643063,-1.0343949469528,-1.0343949469528,-0.713901874399868,-0.713901874399868,41,"de","DET","high_lp"
"42",42,"mijn heer zak met rijst",1,"weg",41,0,-6.24903917312622,3,-0.256867153982401,0.790262184878381,0.272226249030669,0.696284515406032,-0.713901874399868,-1.0343949469528,-1.0343949469528,-0.713901874399868,42,"weg","ADV","med_lp"
"43",43,"mijn heer zak met rijst",1,"lag.",42,0,-5.48990488052368,4,-0.074897866442677,-0.256867153982401,0.790262184878381,0.272226249030669,-0.393408801846939,-0.713901874399868,-1.0343949469528,-1.0343949469528,43,"lag","VERB","med_lp"
"44",44,"mijn heer zak met rijst",1,"Hidesato",43,0,-5.37720618583262,8,-0.0478832770881604,-0.074897866442677,-0.256867153982401,0.790262184878381,0.888563488364776,-0.393408801846939,-0.713901874399868,-1.0343949469528,44,"hidesato","PROPN","med_lp"
"45",45,"mijn heer zak met rijst",1,"klom",44,0,-5.28471088409424,4,-0.0257115687064958,-0.0478832770881604,-0.074897866442677,-0.256867153982401,-0.393408801846939,0.888563488364776,-0.393408801846939,-0.713901874399868,45,"klom","VERB","med_lp"
"46",46,"mijn heer zak met rijst",1,"zonder",45,0,-5.93989133834839,6,-0.182762464223084,-0.0257115687064958,-0.0478832770881604,-0.074897866442677,0.247577343258918,-0.393408801846939,0.888563488364776,-0.393408801846939,46,"zonder","ADP","med_lp"
"47",47,"mijn heer zak met rijst",1,"een",46,0,-2.62930870056152,3,0.610805116387938,-0.182762464223084,-0.0257115687064958,-0.0478832770881604,-0.713901874399868,0.247577343258918,-0.393408801846939,0.888563488364776,47,"een","DET","med_lp"
"48",48,"mijn heer zak met rijst",1,"te",47,0,-8.60946846008301,2,-0.822676971587773,0.610805116387938,-0.182762464223084,-0.0257115687064958,-1.0343949469528,-0.713901874399868,0.247577343258918,-0.393408801846939,48,"te","ADP","low_lp"
"49",49,"mijn heer zak met rijst",1,"aarzelen",48,0,-6.31030750274658,8,-0.271553559798089,-0.822676971587773,0.610805116387938,-0.182762464223084,0.888563488364776,-1.0343949469528,-0.713901874399868,0.247577343258918,49,"aarzelen","VERB","med_lp"
"50",50,"mijn heer zak met rijst",1,"over",49,0,-2.81357574462891,4,0.56663514138781,-0.271553559798089,-0.822676971587773,0.610805116387938,-0.393408801846939,0.888563488364776,-1.0343949469528,-0.713901874399868,50,"over","ADP","med_lp"
"51",51,"mijn heer zak met rijst",1,"het",50,0,-1.04502618312836,3,0.990567648219566,0.56663514138781,-0.271553559798089,-0.822676971587773,-0.713901874399868,-0.393408801846939,0.888563488364776,-1.0343949469528,51,"het","DET","high_lp"
"52",52,"mijn heer zak met rijst",1,"monster",51,0,-4.37065601348877,7,0.193393160452904,0.990567648219566,0.56663514138781,-0.271553559798089,0.568070415811847,-0.713901874399868,-0.393408801846939,0.888563488364776,52,"monster","NOUN","med_lp"
"53",53,"mijn heer zak met rijst",1,"heen",52,0,-4.33780574798584,4,0.201267576702189,0.193393160452904,0.990567648219566,0.56663514138781,-0.393408801846939,0.568070415811847,-0.713901874399868,-0.393408801846939,53,"heen","ADP","med_lp"
"54",54,"mijn heer zak met rijst",1,"en",53,0,-1.41441965103149,2,0.902021699457699,0.201267576702189,0.193393160452904,0.990567648219566,-1.0343949469528,-0.393408801846939,0.568070415811847,-0.713901874399868,54,"en","CCONJ","high_lp"
"55",55,"mijn heer zak met rijst",1,"vervolgde",54,0,-9.09327793121338,9,-0.938649159413384,0.902021699457699,0.201267576702189,0.193393160452904,1.2090565609177,-1.0343949469528,-0.393408801846939,0.568070415811847,55,"vervolgde","VERB","low_lp"
"56",56,"mijn heer zak met rijst",1,"zijn",55,0,-1.91717660427094,4,0.781507680425596,-0.938649159413384,0.902021699457699,0.201267576702189,-0.393408801846939,1.2090565609177,-1.0343949469528,-0.393408801846939,56,"zijn","AUX","high_lp"
"57",57,"mijn heer zak met rijst",1,"weg.",56,0,-3.19114923477173,4,0.476128389598705,0.781507680425596,-0.938649159413384,0.902021699457699,-0.393408801846939,-0.393408801846939,1.2090565609177,-1.0343949469528,57,"weg","ADV","med_lp"
"58",58,"mijn heer zak met rijst",1,"Hij",0,1,-1.94206881523132,3,0.775540860143746,0.476128389598705,0.781507680425596,-0.938649159413384,-0.713901874399868,-0.393408801846939,-0.393408801846939,1.2090565609177,58,"hij","PRON","high_lp"
"59",59,"mijn heer zak met rijst",1,"was",1,1,-2.57591581344604,3,0.623603728863715,0.775540860143746,0.476128389598705,0.781507680425596,-0.713901874399868,-0.713901874399868,-0.393408801846939,-0.393408801846939,59,"was","AUX","med_lp"
"60",60,"mijn heer zak met rijst",1,"nog",2,1,-3.65135908126831,3,0.365813180943529,0.623603728863715,0.775540860143746,0.476128389598705,-0.713901874399868,-0.713901874399868,-0.713901874399868,-0.393408801846939,60,"nog","ADV","med_lp"
"61",61,"mijn heer zak met rijst",1,"niet",3,1,-2.1651668548584,4,0.722062850102505,0.365813180943529,0.623603728863715,0.775540860143746,-0.393408801846939,-0.713901874399868,-0.713901874399868,-0.713901874399868,61,"niet","ADV","high_lp"
"62",62,"mijn heer zak met rijst",1,"ver,",4,1,-7.03234958648682,4,-0.444631610456908,0.722062850102505,0.365813180943529,0.623603728863715,-0.393408801846939,-0.393408801846939,-0.713901874399868,-0.713901874399868,62,"ver","ADJ","low_lp"
"63",63,"mijn heer zak met rijst",1,"toen",5,1,-0.955777108669281,4,1.01196121540676,-0.444631610456908,0.722062850102505,0.365813180943529,-0.393408801846939,-0.393408801846939,-0.393408801846939,-0.713901874399868,63,"toen","SCONJ","high_lp"
"64",64,"mijn heer zak met rijst",1,"hij",6,1,-1.09711241722107,3,0.978082248731178,1.01196121540676,-0.444631610456908,0.722062850102505,-0.713901874399868,-0.393408801846939,-0.393408801846939,-0.393408801846939,64,"hij","PRON","high_lp"
